Dyke - Location 1,,,,,,,,,Dyke - Location 2,,,,,,,,,Internal - Location 1,,,,,,,,,Internal - Location 2,,,,,,,
Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Time Point,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH,,Date (MM/DD/YYYY),Duration,Time (HH:mm:ss),Temp °C,Chlorophyll RFU,PC RFU,DO mg/L,pH
06-11-2022,Evening,19:15:48,33.531,122.61,18.27,11.98,8.54,,06-11-2022,Evening,19:22:15,32.599,146.65,26.11,1.67,8.18,,06-11-2022,Evening,19:18:55,33.397,122.22,19.68,11.57,8.51,,06-12-2022,Evening,19:22:15,33.717,113.35,17.01,12.52,8.58
06-12-2022,Evening,19:07:43,34.066,100.23,15.32,15.43,8.64,,06-12-2022,Evening,19:17:49,33.507,135.41,21.66,5.58,8.34,,06-12-2022,Evening,19:11:03,33.682,122.92,19.28,11.48,8.51,,06-13-2022,Evening,21:27:48,32.281,133.31,20.97,4.58,8.3
06-13-2022,Evening,21:16:32,32.24,133.52,21.59,3.99,8.3,,06-13-2022,Evening,21:23:59,32.158,117.65,18.1,7.96,8.42,,06-13-2022,Evening,21:22:29,32.162,127.92,20.38,5.56,8.33,,06-14-2022,Evening,20:02:54,33.973,91.8,13.48,14.83,8.65
06-14-2022,Evening,19:45:20,34.162,84.05,13.11,17.1,8.7,,06-14-2022,Evening,19:58:58,33.566,113.03,17.52,10.43,8.48,,06-14-2022,Evening,19:53:33,33.657,101.52,16.04,12.8,8.57,,06-15-2022,Evening,17:44:08,,101.63,16.09,17.21,
06-15-2022,Evening,17:31:10,-,72.93,11.49,16.46,- ,,06-15-2022,Evening,17:39:12,-,131.45,19.97,8.96,-,,06-15-2022,Evening,17:36:48,-,110.68,18.61,12.52,-,,06-16-2022,Evening,18:38:37,32.35,105.68,16.05,6.94,8.4
06-16-2022,Evening,18:24:49,32.463,107.9,16.91,7.04,8.35,,06-16-2022,Evening,18:34:48,32.396,115.18,17.31,7.3,8.42,,06-16-2022,Evening,18:29:09,32.385,110,15.75,7.21,8.39,,06-17-2022,Evening,17:17:58,33.855,75.38,12.88,17.05,8.61
06-17-2022,Evening,17:05:52,34.023,73.53,11.63,18.51,8.63,,06-17-2022,Evening,17:12:57,33.84,85.47,13.5,17.54,8.61,,06-17-2022,Evening,17:09:14,33.896,80.55,13.35,17.08,8.64,,06-18-2022,Evening,17:37:36,33.512,90.82,15.64,13.15,8.56
06-18-2022,Evening,17:22:57,33.922,70.04,13.21,15.52,8.61,,06-18-2022,Evening,17:31:12,33.515,92.41,15.33,14.65,8.6,,06-18-2022,Evening,17:28:51,33.68,94.58,15.16,16.18,8.62,,06-19-2022,Evening,18:10:09,32.616,89.34,13.68,12.45,8.6
06-19-2022,Evening,17:53:03,32.634,89.63,15.46,13.22,8.63,,06-19-2022,Evening,18:03:44,32.455,101.89,16.99,10.2,8.55,,06-19-2022,Evening,18:00:45,32.514,99.71,16.51,11.7,8.58,,06-20-2022,Evening,17:25:04,33.247,79.19,12.45,13.07,8.68
06-20-2022,Evening,17:14:04,33.177,91.42,14.63,12.79,8.57,,06-20-2022,Evening,17:22:06,32.687,106.4,16.12,9.26,8.51,,06-20-2022,Evening,17:17:16,32.941,91.89,14.43,12.05,8.58,,06-21-2022,Evening,18:19:56,31.573,100.39,15.57,7.44,8.46
06-21-2022,Evening,18:07:01,31.745,104.57,16.46,8.84,8.51,,06-21-2022,Evening,18:14:51,31.594,118.11,18.01,7.11,8.46,,06-21-2022,Evening,18:09:08,31.63,105.77,16.25,9.03,8.51,,,,,,,,,
