day,pond,variable,value
3,GIL2,amm,0.13
4,SNR2,temp,28
4,SNR2,ph,8.38
4,SNR2,do,3.82
4,SNR2,chl,199.88
4,SNR2,pc,8.94
4,SNR2,amm,0.07
4,JKS1,temp,29.4
4,JKS1,ph,7.94
4,JKS1,do,3.6
4,JKS1,chl,85.07
4,JKS1,pc,2.91
4,JKS1,amm,0.1
4,PNR1,temp,28.6
4,PNR1,ph,8.67
4,PNR1,do,5.4
4,PNR1,chl,86.14
4,PNR1,pc,8.71
4,PNR1,amm,0.2
4,GOW2,temp,30.1
4,GOW2,ph,8.55
4,GOW2,do,11.51
4,GOW2,chl,127.99
4,GOW2,pc,6.82
4,GOW2,amm,0.14
4,SRV1,temp,29.3
4,SRV1,ph,8.33
4,SRV1,do,5.4
4,SRV1,chl,139.9
4,SRV1,pc,4.9
4,SRV1,amm,0.13
4,SRK1,temp,29.1
4,SRK1,ph,8.69
4,SRK1,do,9.18
4,SRK1,chl,383.74
4,SRK1,pc,18.03
4,SRK1,amm,0.09
4,VVR1,temp,28.3
4,VVR1,ph,8.66
4,VVR1,do,3.25
4,VVR1,chl,139.85
4,VVR1,pc,4.16
4,VVR1,amm,0.05
4,KIS1,temp,29.9
4,KIS1,ph,8.1
4,KIS1,do,5.55
4,KIS1,chl,32.1
4,KIS1,pc,1.06
4,KIS1,amm,0.1
4,PRA1,temp,29.6
4,PRA1,ph,8.23
4,PRA1,do,4.39
4,PRA1,chl,171.74
4,PRA1,pc,8.65
4,PRA1,amm,0.23
4,SBR1,temp,30.4
4,SBR1,ph,8.25
4,SBR1,do,9.08
4,SBR1,chl,129.88
4,SBR1,pc,9.92
4,SBR1,amm,0.11
4,NSR1,temp,29.2
4,NSR1,ph,8.57
4,NSR1,do,9.6
4,NSR1,chl,96.64
4,NSR1,pc,11.57
4,NSR1,amm,0.17
4,JAG1,temp,29.3
4,JAG1,ph,8.33
4,JAG1,do,4.5
4,JAG1,chl,154.75
4,JAG1,pc,6.48
4,JAG1,amm,0.21
4,VPS3,temp,29.5
4,VPS3,ph,8.22
4,VPS3,do,4
4,VPS3,chl,105.07
4,VPS3,pc,3.4
4,VPS3,amm,0.16
4,NRO1,temp,30
4,NRO1,ph,8.24
4,NRO1,do,5.3
4,NRO1,chl,134.54
4,NRO1,pc,10.82
4,NRO1,amm,0.18
4,VMS1,temp,29.6
4,VMS1,ph,8.33
4,VMS1,do,5.7
4,VMS1,chl,371.9
4,VMS1,pc,14
4,VMS1,amm,0.21
4,GRA1,temp,28.4
4,GRA1,ph,8.54
4,GRA1,do,4
4,GRA1,chl,132.52
4,GRA1,pc,5.78
4,GRA1,amm,0.15
4,PKR1,temp,30.5
4,PKR1,ph,8.25
4,PKR1,do,2.8
4,PKR1,chl,36.69
4,PKR1,pc,1.13
4,PKR1,amm,1.08
4,SRI2,temp,29.4
4,SRI2,ph,8.27
4,SRI2,do,6.3
4,SRI2,chl,155.79
4,SRI2,pc,6.97
4,SRI2,amm,0.13
4,SRI1,temp,29.7
4,SRI1,ph,8.17
4,SRI1,do,4.2
4,SRI1,chl,101.82
4,SRI1,pc,6.74
4,SRI1,amm,0.14
4,GIL2,temp,29
4,GIL2,ph,8.28
4,GIL2,do,4.2
4,GIL2,chl,66.67
4,GIL2,pc,2.09
4,GIL2,amm,0.09
5,SNR2,temp,29.2
5,SNR2,ph,8.62
5,SNR2,do,6.72
5,SNR2,chl,308.93
5,SNR2,pc,14.26
5,SNR2,amm,0.15
5,JKS1,temp,30.3
5,JKS1,ph,7.96
5,JKS1,do,2.35
5,JKS1,chl,74.61
5,JKS1,pc,4.99
5,JKS1,amm,0.1
5,PNR1,temp,29.8
5,PNR1,ph,8.73
5,PNR1,do,8.77
5,PNR1,chl,105.6
5,PNR1,pc,9.88
5,PNR1,amm,0.15
5,GOW2,temp,30.3
5,GOW2,ph,8.35
5,GOW2,do,7.5
5,GOW2,chl,99.03
5,GOW2,pc,6.67
5,GOW2,amm,0.13
5,SRV1,temp,30.2
5,SRV1,ph,8.31
5,SRV1,do,6.75
5,SRV1,chl,132.31
5,SRV1,pc,5.84
5,SRV1,amm,0.13
5,SRK1,temp,29.6
5,SRK1,ph,8.6
5,SRK1,do,4.66
5,SRK1,chl,401
5,SRK1,pc,17.01
5,SRK1,amm,0.3
5,VVR1,temp,29.7
5,VVR1,ph,8.85
5,VVR1,do,7.57
5,VVR1,chl,80.05
5,VVR1,pc,3.65
5,VVR1,amm,0.05
5,KIS1,temp,31
5,KIS1,ph,8.11
5,KIS1,do,7.06
5,KIS1,chl,41.81
5,KIS1,pc,2.78
5,KIS1,amm,0.17
5,PRA1,temp,31.2
5,PRA1,ph,8.29
5,PRA1,do,11.59
5,PRA1,chl,124.1
5,PRA1,pc,6.84
5,PRA1,amm,0.29
5,SBR1,temp,30.9
5,SBR1,ph,8.26
5,SBR1,do,10.1
5,SBR1,chl,113.92
5,SBR1,pc,10.37
5,SBR1,amm,0.2
5,NSR1,temp,29.7
5,NSR1,ph,8.51
5,NSR1,do,4.1
5,NSR1,chl,103.71
5,NSR1,pc,10.89
5,NSR1,amm,0.3
5,JAG1,temp,29.8
5,JAG1,ph,8.3
5,JAG1,do,3.6
5,JAG1,chl,182.92
5,JAG1,pc,7.41
5,JAG1,amm,0.41
5,VPS3,temp,30.1
5,VPS3,ph,8.24
5,VPS3,do,4.2
5,VPS3,chl,88.27
5,VPS3,pc,3.7
5,VPS3,amm,0.18
5,NRO1,temp,30.5
5,NRO1,ph,8.26
5,NRO1,do,5.2
5,NRO1,chl,104.24
5,NRO1,pc,6.31
5,NRO1,amm,0.43
5,VMS1,temp,30.2
5,VMS1,ph,8.37
5,VMS1,do,6.8
5,VMS1,chl,356.37
5,VMS1,pc,13.46
5,VMS1,amm,0.24
5,GRA1,temp,30.1
5,GRA1,ph,8.57
5,GRA1,do,4.7
5,GRA1,chl,114.96
5,GRA1,pc,5.27
5,GRA1,amm,0.18
5,PKR1,temp,
5,PKR1,ph,
5,PKR1,do,
5,PKR1,chl,
5,PKR1,pc,
5,PKR1,amm,
5,SRI2,temp,29.8
5,SRI2,ph,8.2
5,SRI2,do,2.2
5,SRI2,chl,170.53
5,SRI2,pc,8.28
5,SRI2,amm,0.24
5,SRI1,temp,30.6
5,SRI1,ph,8.23
5,SRI1,do,7.7
5,SRI1,chl,101.43
5,SRI1,pc,7.05
5,SRI1,amm,0.15
5,GIL2,temp,29.6
5,GIL2,ph,8.25
5,GIL2,do,2.2
5,GIL2,chl,75.52
5,GIL2,pc,2.08
5,GIL2,amm,0.11
